Rotación;Edad;Viaje de Negocios;Departamento;Distancia_Casa;Educación;Campo_Educación;Satisfacción_Ambiental;Genero;Cargo;Satisfación_Laboral;Estado_Civil;Ingreso_Mensual;Trabajos_Anteriores;Horas_Extra;Porcentaje_aumento_salarial;Rendimiento_Laboral;Años_Experiencia;Capacitaciones;Equilibrio_Trabajo_Vida;Antigüedad;Antigüedad_Cargo;Años_ultima_promoción;Años_acargo_con_mismo_jefe
No;24;No_Viaja;IyD;11;2;Otra;1;F;Director_Manofactura;3;Divorciado;4011;0;No;18;3;5;5;2;4;2;1;3
Si;36;Raramente;Ventas;9;4;Ciencias;3;M;Representante_Ventas;1;Soltero;3407;7;No;23;4;10;4;3;5;3;0;3
No;34;Raramente;IyD;7;4;Ciencias;1;F;Director_Investigación;2;Soltero;11994;0;No;11;3;13;4;3;12;6;2;11
No;21;Raramente;IyD;15;2;Ciencias;3;M;Investigador_Cientifico;4;Soltero;1232;1;No;14;3;0;6;3;0;0;0;0
Si;34;Raramente;IyD;6;1;Salud;2;M;Investigador_Cientifico;1;Soltero;2960;2;No;11;3;8;2;3;4;2;1;3
No;53;Raramente;IyD;5;3;Otra;3;F;Gerente;3;Divorciado;19094;4;No;11;3;26;3;2;14;13;4;8
Si;32;Frecuentemente;IyD;16;1;Ciencias;2;F;Investigador_Cientifico;1;Soltero;3919;1;Si;22;4;10;5;3;10;2;6;7
No;42;Raramente;Ventas;8;4;Mercadeo;3;M;Ejecutivo_Ventas;2;Casado;6825;0;No;11;3;10;2;3;9;7;4;2
No;44;Raramente;IyD;7;4;Salud;1;F;Representante_Salud;4;Casado;10248;3;No;14;3;24;4;3;22;6;5;17
No;46;Raramente;Ventas;2;4;Mercadeo;2;F;Gerente;1;Soltero;18947;3;No;12;3;22;2;2;2;2;2;1
No;33;Raramente;IyD;2;3;Salud;3;M;Tecnico_Laboratorio;4;Soltero;2496;4;No;11;3;7;3;3;1;1;0;0
No;44;Raramente;IyD;10;4;Otra;4;M;Representante_Salud;4;Casado;6465;2;Si;13;3;9;5;4;4;2;1;3
No;30;Raramente;IyD;9;2;Salud;4;M;Tecnico_Laboratorio;3;Soltero;2206;1;No;13;3;10;5;3;10;0;1;8
Si;39;Raramente;Ventas;5;3;Tecnicos;4;M;Representante_Ventas;4;Casado;2086;3;No;14;3;19;6;4;1;0;0;0
Si;24;Raramente;IyD;1;3;Salud;2;M;Investigador_Cientifico;4;Casado;2293;2;Si;16;3;6;2;2;2;0;2;0
No;43;Raramente;IyD;2;2;Salud;4;F;Investigador_Cientifico;3;Divorciado;2645;1;No;12;3;6;3;2;5;3;1;4
Si;50;Raramente;Ventas;3;2;Mercadeo;1;M;Representante_Ventas;3;Casado;2683;1;Si;14;3;3;2;3;3;2;0;2
No;35;Raramente;Ventas;2;3;Mercadeo;4;F;Representante_Ventas;4;Casado;2014;1;No;13;3;2;3;3;2;2;2;2
No;36;Raramente;IyD;5;4;Ciencias;2;F;Investigador_Cientifico;1;Casado;3419;9;Si;14;3;6;3;4;1;1;0;0
No;33;Frecuentemente;Ventas;1;3;Ciencias;3;F;Ejecutivo_Ventas;1;Casado;5376;2;No;19;3;10;3;3;5;3;1;3
No;35;Raramente;IyD;4;2;Otra;3;M;Tecnico_Laboratorio;4;Divorciado;1951;1;No;12;3;1;3;3;1;0;0;0
No;27;Raramente;IyD;2;4;Ciencias;4;F;Tecnico_Laboratorio;1;Divorciado;2341;1;No;13;3;1;6;3;1;0;0;0
Si;26;Raramente;IyD;25;3;Ciencias;1;M;Tecnico_Laboratorio;3;Soltero;2293;1;No;12;3;1;2;2;1;0;0;1
No;27;Frecuentemente;Ventas;8;3;Ciencias;4;M;Ejecutivo_Ventas;3;Soltero;8726;1;No;15;3;9;0;3;9;8;1;7
No;30;Frecuentemente;IyD;1;2;Salud;3;F;Tecnico_Laboratorio;4;Soltero;4011;1;No;23;4;12;2;3;12;8;3;7
Si;41;Raramente;IyD;12;3;Tecnicos;2;F;Director_Investigación;3;Casado;19545;1;No;12;3;23;0;3;22;15;15;8
No;34;No_Viaja;Ventas;23;4;Mercadeo;2;M;Ejecutivo_Ventas;3;Soltero;4568;0;No;20;4;10;2;3;9;5;8;7
No;37;Raramente;IyD;19;2;Ciencias;2;M;Investigador_Cientifico;2;Casado;3022;4;No;21;4;8;1;3;1;0;0;0
No;46;Frecuentemente;Ventas;5;4;Mercadeo;1;M;Ejecutivo_Ventas;4;Soltero;5772;4;Si;21;4;14;4;3;9;6;0;8
No;35;Raramente;IyD;8;1;Ciencias;4;M;Tecnico_Laboratorio;4;Casado;2269;1;No;19;3;1;2;3;1;0;0;1
Si;48;Raramente;IyD;1;2;Ciencias;1;M;Tecnico_Laboratorio;3;Soltero;5381;9;Si;13;3;23;2;3;1;0;0;0
Si;28;Raramente;IyD;5;4;Tecnicos;3;M;Tecnico_Laboratorio;3;Soltero;3441;1;Si;13;3;2;3;2;2;2;2;2
No;44;Raramente;Ventas;1;5;Mercadeo;2;F;Ejecutivo_Ventas;1;Divorciado;5454;5;Si;21;4;9;2;2;4;3;1;3
No;35;No_Viaja;IyD;11;2;Salud;3;M;Representante_Salud;1;Casado;9884;2;Si;13;3;10;3;3;4;0;2;3
No;26;Raramente;Ventas;23;3;Mercadeo;3;F;Ejecutivo_Ventas;4;Casado;4157;7;Si;19;3;5;2;2;2;2;0;0
No;33;Frecuentemente;IyD;1;2;Ciencias;1;F;Director_Investigación;4;Soltero;13458;1;Si;12;3;15;1;3;15;14;8;12
No;35;Frecuentemente;Ventas;18;5;Ciencias;2;M;Ejecutivo_Ventas;1;Casado;9069;1;No;22;4;9;3;2;9;8;1;8
No;35;Raramente;IyD;23;4;Salud;3;F;Tecnico_Laboratorio;1;Casado;4014;3;Si;15;3;4;3;3;2;2;2;2
No;31;Raramente;IyD;7;4;Ciencias;4;M;Tecnico_Laboratorio;4;Divorciado;5915;3;No;22;4;10;3;2;7;7;1;7
No;37;Raramente;IyD;1;4;Ciencias;1;M;Director_Manofactura;3;Divorciado;5993;1;No;18;3;7;2;4;7;5;0;7
No;32;Raramente;IyD;1;3;Salud;1;M;Director_Manofactura;4;Casado;6162;1;Si;22;4;9;3;3;9;8;7;8
No;38;Frecuentemente;IyD;29;5;Ciencias;4;F;Tecnico_Laboratorio;4;Soltero;2406;1;No;11;3;10;2;3;10;3;9;9
No;50;Raramente;IyD;7;2;Salud;2;F;Director_Investigación;3;Divorciado;18740;5;Si;12;3;29;2;2;27;3;13;8
No;59;Raramente;Ventas;25;3;Ciencias;1;F;Ejecutivo_Ventas;1;Soltero;7637;7;No;11;3;28;3;2;21;16;7;9
No;36;Raramente;IyD;8;3;Tecnicos;3;F;Representante_Salud;3;Divorciado;10096;1;No;13;3;17;2;3;17;14;12;8
No;55;Raramente;IyD;8;3;Salud;4;F;Gerente;3;Divorciado;14756;2;Si;14;3;21;2;3;5;0;0;2
No;36;Frecuentemente;IyD;11;3;Ciencias;2;M;Director_Manofactura;2;Soltero;6499;1;No;13;3;6;3;3;6;5;0;3
No;45;Raramente;IyD;7;3;Ciencias;2;M;Investigador_Cientifico;1;Divorciado;9724;2;No;17;3;25;2;3;1;0;0;0
No;35;Frecuentemente;IyD;1;3;Salud;2;M;Investigador_Cientifico;1;Casado;2194;4;No;13;3;5;2;2;3;2;1;2
Si;36;Raramente;IyD;9;3;Salud;4;M;Investigador_Cientifico;3;Casado;3388;0;Si;17;3;2;0;2;1;0;0;0
No;59;Frecuentemente;Ventas;1;1;Ciencias;1;F;Ejecutivo_Ventas;3;Soltero;5473;7;No;11;3;20;2;2;4;3;1;3
No;29;Raramente;IyD;2;3;Ciencias;3;M;Investigador_Cientifico;2;Casado;2703;0;No;23;4;6;3;3;5;4;0;4
No;31;Raramente;IyD;1;4;Salud;3;M;Investigador_Cientifico;2;Soltero;2501;1;No;17;3;1;4;3;1;1;1;0
No;32;Raramente;IyD;1;3;Ciencias;2;M;Investigador_Cientifico;2;Casado;6220;1;No;17;3;10;3;3;10;4;0;9
No;36;Raramente;IyD;6;3;Ciencias;2;F;Tecnico_Laboratorio;4;Casado;3038;3;No;12;3;5;3;3;1;0;0;0
No;31;Raramente;IyD;8;4;Ciencias;3;F;Director_Manofactura;4;Soltero;4424;1;No;23;4;11;2;3;11;7;1;8
No;35;Raramente;Ventas;1;4;Mercadeo;3;M;Ejecutivo_Ventas;1;Soltero;4312;0;No;14;3;16;2;3;15;13;2;8
No;45;Raramente;IyD;6;4;Otra;4;M;Director_Investigación;1;Casado;13245;4;Si;14;3;17;3;4;0;0;0;0
No;37;Raramente;IyD;7;4;Salud;1;M;Director_Investigación;3;Soltero;13664;4;No;13;3;16;3;4;5;2;0;2
No;46;Raramente;RH;5;2;Salud;2;M;Recursos_Humanos;2;Divorciado;5021;8;Si;22;4;16;2;3;4;2;0;2
No;30;Raramente;IyD;1;1;Ciencias;4;M;Tecnico_Laboratorio;4;Casado;5126;1;Si;12;3;10;1;2;10;8;3;0
No;35;Raramente;IyD;1;3;Salud;2;M;Investigador_Cientifico;3;Soltero;2859;1;No;18;3;6;3;3;6;4;0;4
No;55;Raramente;Ventas;1;2;Ciencias;1;M;Ejecutivo_Ventas;4;Casado;10239;3;No;14;3;24;4;3;1;0;1;0
No;38;No_Viaja;IyD;6;3;Salud;2;F;Investigador_Cientifico;4;Divorciado;5329;7;Si;12;3;17;3;3;13;11;1;9
No;34;Raramente;IyD;1;2;Salud;1;M;Director_Manofactura;2;Casado;4325;1;No;15;3;5;2;3;5;2;1;3
No;56;Raramente;IyD;7;3;Ciencias;4;M;Director_Manofactura;4;Soltero;7260;4;No;11;3;37;3;2;6;4;0;2
No;23;Raramente;Ventas;2;1;Tecnicos;3;M;Representante_Ventas;1;Divorciado;2322;3;No;13;3;3;3;3;0;0;0;0
No;51;Raramente;IyD;9;4;Ciencias;4;M;Tecnico_Laboratorio;4;Casado;2075;3;No;23;4;10;4;3;4;2;0;3
No;30;Raramente;IyD;2;3;Ciencias;3;M;Representante_Salud;4;Casado;4152;1;No;19;3;11;3;3;11;10;10;8
Si;46;Raramente;Ventas;9;2;Salud;3;M;Ejecutivo_Ventas;4;Soltero;9619;1;No;16;3;9;3;3;9;8;4;7
No;40;Frecuentemente;IyD;1;4;Ciencias;3;M;Representante_Salud;2;Casado;13503;1;No;22;4;22;3;2;22;3;11;11
No;51;Raramente;Ventas;21;4;Mercadeo;3;M;Ejecutivo_Ventas;4;Soltero;5441;0;Si;22;4;11;2;1;10;7;1;0
No;30;Raramente;Ventas;4;2;Salud;3;F;Ejecutivo_Ventas;2;Divorciado;5209;1;Si;12;3;11;4;2;11;8;2;7
No;46;Frecuentemente;IyD;1;3;Salud;3;M;Representante_Salud;1;Casado;10673;2;Si;13;3;21;5;2;10;9;9;5
No;32;Raramente;Ventas;6;4;Salud;2;M;Ejecutivo_Ventas;3;Soltero;5010;1;No;16;3;12;0;3;11;8;5;7
No;54;Raramente;IyD;2;4;Tecnicos;1;F;Director_Investigación;3;Casado;13549;9;No;12;3;16;5;1;4;3;0;3
No;24;Raramente;Ventas;3;2;Otra;1;F;Ejecutivo_Ventas;3;Casado;4999;0;No;21;4;4;2;2;3;2;0;2
No;28;No_Viaja;Ventas;4;3;Salud;2;M;Ejecutivo_Ventas;3;Casado;4221;1;No;15;3;5;3;4;5;4;0;4
No;58;Raramente;Ventas;10;4;Salud;4;M;Ejecutivo_Ventas;3;Soltero;13872;0;No;13;3;38;1;2;37;10;1;8
No;44;No_Viaja;IyD;23;3;Salud;2;M;Tecnico_Laboratorio;2;Casado;2042;4;No;12;3;17;3;4;3;2;1;2
Si;37;Raramente;RH;6;4;Humanidades;3;M;Recursos_Humanos;1;Divorciado;2073;4;Si;22;4;7;3;3;3;2;0;2
No;32;Raramente;IyD;1;1;Ciencias;4;M;Investigador_Cientifico;1;Soltero;2956;1;No;13;3;1;2;3;1;0;0;0
Si;20;Frecuentemente;IyD;6;3;Ciencias;4;F;Tecnico_Laboratorio;4;Soltero;2926;1;Si;18;3;1;5;3;1;0;1;0
No;34;Raramente;IyD;6;4;Otra;1;F;Investigador_Cientifico;3;Soltero;4809;1;No;14;3;16;3;3;16;13;2;10
No;37;No_Viaja;IyD;2;2;Ciencias;3;M;Representante_Salud;4;Divorciado;5163;5;No;14;3;17;2;4;1;0;0;0
No;59;No_Viaja;RH;2;4;Humanidades;3;F;Gerente;4;Casado;18844;9;No;21;4;30;3;3;3;2;2;2
No;50;Frecuentemente;IyD;1;3;Ciencias;1;F;Director_Investigación;2;Casado;18172;3;Si;19;3;28;1;2;8;3;0;7
Si;25;Raramente;Ventas;5;3;Mercadeo;3;M;Ejecutivo_Ventas;3;Soltero;5744;1;Si;11;3;6;1;3;6;4;0;3
No;25;Raramente;IyD;7;1;Salud;4;M;Investigador_Cientifico;4;Casado;2889;1;No;11;3;2;2;3;2;2;2;1
No;22;Raramente;IyD;15;3;Salud;2;F;Tecnico_Laboratorio;4;Soltero;2871;1;No;15;3;1;5;3;0;0;0;0
No;51;Frecuentemente;IyD;1;4;Salud;1;F;Representante_Salud;1;Soltero;7484;3;No;20;4;23;1;2;13;12;12;8
Si;34;Frecuentemente;IyD;7;3;Ciencias;1;M;Tecnico_Laboratorio;3;Soltero;6074;1;Si;24;4;9;3;3;9;7;0;6
No;54;No_Viaja;RH;26;3;Humanidades;4;F;Gerente;4;Soltero;17328;2;Si;12;3;23;3;3;5;3;4;4
No;24;Raramente;IyD;18;1;Ciencias;2;M;Tecnico_Laboratorio;3;Casado;2774;0;No;12;3;6;2;3;5;3;1;2
No;34;Raramente;IyD;6;4;Ciencias;3;F;Investigador_Cientifico;2;Divorciado;4505;6;No;15;3;12;3;3;1;0;0;0
No;37;Raramente;Ventas;3;3;Ciencias;3;M;Ejecutivo_Ventas;4;Soltero;7428;2;No;12;3;12;3;3;5;3;1;3
No;34;Raramente;IyD;5;3;Salud;3;F;Gerente;1;Soltero;11631;2;No;12;3;14;6;3;11;10;5;8
No;36;Frecuentemente;Ventas;11;2;Tecnicos;2;F;Ejecutivo_Ventas;4;Casado;9738;0;No;14;3;10;6;3;9;7;2;8
No;36;Raramente;IyD;3;2;Ciencias;1;F;Tecnico_Laboratorio;4;Divorciado;2835;5;No;22;4;7;2;3;1;0;0;0
No;43;Frecuentemente;Ventas;26;2;Ciencias;3;M;Gerente;4;Casado;16959;1;Si;12;3;25;3;4;25;12;4;12
No;30;Frecuentemente;IyD;23;3;Ciencias;1;M;Investigador_Cientifico;3;Divorciado;2613;1;No;25;4;10;2;2;10;7;0;9
No;33;No_Viaja;Ventas;22;2;Mercadeo;3;M;Ejecutivo_Ventas;2;Casado;6146;0;No;13;3;8;2;4;7;7;0;7
Si;56;Raramente;IyD;14;4;Ciencias;2;F;Investigador_Cientifico;2;Casado;4963;9;Si;18;3;7;2;3;5;4;4;3
No;51;Raramente;IyD;6;3;Ciencias;1;M;Director_Investigación;3;Soltero;19537;7;No;13;3;23;5;3;20;18;15;15
Si;31;Raramente;Ventas;6;4;Ciencias;2;M;Ejecutivo_Ventas;3;Casado;6172;4;Si;18;3;12;3;2;7;7;7;7
No;26;Raramente;IyD;6;3;Otra;3;F;Investigador_Cientifico;2;Casado;2368;1;No;19;3;5;3;2;5;4;4;3
Si;58;Raramente;IyD;23;4;Salud;4;F;Representante_Salud;4;Casado;10312;1;No;12;3;40;3;2;40;10;15;6
Si;19;Raramente;Ventas;22;1;Mercadeo;4;M;Representante_Ventas;3;Soltero;1675;1;Si;19;3;0;2;2;0;0;0;0
No;22;Raramente;IyD;2;1;Tecnicos;3;M;Tecnico_Laboratorio;4;Casado;2523;0;No;14;3;3;2;3;2;1;2;1
No;49;Raramente;IyD;20;4;Salud;3;F;Director_Manofactura;1;Casado;6567;1;No;14;3;16;2;2;15;11;5;11
No;43;Frecuentemente;IyD;28;3;Salud;2;F;Investigador_Cientifico;3;Soltero;4739;4;No;12;3;18;2;3;3;2;1;2
No;50;Frecuentemente;Ventas;12;3;Mercadeo;3;F;Ejecutivo_Ventas;4;Soltero;9208;4;No;11;3;16;3;3;2;2;2;1
Si;31;Raramente;Ventas;20;3;Ciencias;2;F;Ejecutivo_Ventas;3;Casado;4559;3;Si;11;3;4;2;3;2;2;2;2
No;41;Raramente;Ventas;9;1;Ciencias;3;M;Ejecutivo_Ventas;3;Divorciado;8189;3;Si;13;3;12;2;3;9;7;0;7
No;26;Raramente;RH;25;1;Ciencias;3;F;Recursos_Humanos;3;Casado;2942;1;No;23;4;8;3;3;8;7;5;7
No;36;Raramente;IyD;6;2;Salud;2;M;Director_Manofactura;2;Divorciado;4941;6;No;20;4;7;0;3;3;2;0;1
Si;51;Frecuentemente;IyD;8;4;Ciencias;1;M;Director_Manofactura;4;Soltero;10650;2;No;15;3;18;2;3;4;2;0;3
No;39;Raramente;Ventas;4;4;Ciencias;4;F;Ejecutivo_Ventas;3;Casado;5902;4;No;14;3;17;1;4;15;11;5;9
No;25;Raramente;Ventas;28;3;Ciencias;1;M;Ejecutivo_Ventas;3;Casado;8639;2;No;18;3;6;3;3;2;2;2;2
No;30;Raramente;RH;9;3;Humanidades;3;M;Recursos_Humanos;4;Casado;6347;0;Si;19;3;12;2;1;11;9;4;7
Si;32;Raramente;IyD;9;3;Salud;1;F;Tecnico_Laboratorio;1;Soltero;4200;7;No;22;4;10;2;4;5;4;0;4
No;45;Raramente;IyD;29;3;Salud;3;M;Investigador_Cientifico;4;Soltero;3452;5;No;13;3;9;2;2;6;5;0;3
No;38;Raramente;IyD;3;5;Tecnicos;4;F;Investigador_Cientifico;3;Soltero;4317;3;Si;20;4;19;2;3;3;2;2;2
No;30;Raramente;IyD;18;3;Ciencias;1;F;Investigador_Cientifico;3;Soltero;2632;1;No;14;3;5;4;2;5;4;0;4
No;32;Frecuentemente;Ventas;9;2;Salud;4;M;Ejecutivo_Ventas;4;Divorciado;4668;0;No;17;3;9;2;4;8;7;0;7
No;30;Raramente;IyD;5;3;Tecnicos;4;F;Investigador_Cientifico;1;Divorciado;3204;5;No;14;3;8;3;3;3;2;2;2
No;30;Raramente;IyD;2;1;Salud;2;M;Tecnico_Laboratorio;4;Soltero;2720;0;No;13;3;6;3;3;5;3;1;2
No;41;Frecuentemente;IyD;10;3;Ciencias;4;M;Gerente;1;Divorciado;17181;4;No;13;3;21;2;2;7;6;7;7
No;41;Raramente;IyD;9;4;Ciencias;3;M;Tecnico_Laboratorio;1;Casado;2238;2;No;21;4;7;2;3;5;0;1;4
No;19;Raramente;IyD;3;1;Salud;2;F;Tecnico_Laboratorio;2;Soltero;1483;1;No;14;3;1;3;3;1;0;0;0
No;40;Frecuentemente;IyD;26;3;Salud;2;F;Investigador_Cientifico;2;Divorciado;5605;1;No;11;3;20;2;3;20;7;2;13
No;35;Raramente;Ventas;1;5;Mercadeo;3;M;Ejecutivo_Ventas;2;Casado;7295;1;No;13;3;10;3;3;10;8;0;6
No;53;Raramente;Ventas;6;2;Mercadeo;2;M;Representante_Ventas;3;Casado;2306;2;Si;20;4;13;3;1;7;7;4;5
No;45;Raramente;IyD;9;3;Ciencias;2;M;Tecnico_Laboratorio;2;Divorciado;2348;8;No;18;3;20;2;1;17;9;0;15
No;32;Frecuentemente;Ventas;8;3;Mercadeo;2;F;Ejecutivo_Ventas;4;Soltero;8998;1;No;14;3;9;2;3;9;8;3;7
No;29;No_Viaja;IyD;1;1;Tecnicos;4;M;Director_Manofactura;3;Casado;4319;1;No;13;3;10;1;3;10;7;0;9
No;51;Raramente;IyD;7;4;Salud;2;M;Director_Manofactura;3;Casado;6132;2;No;17;3;10;2;3;1;0;0;0
No;58;Raramente;IyD;9;3;Salud;2;F;Investigador_Cientifico;2;Casado;3346;4;Si;20;4;9;3;2;1;0;0;0
No;40;Raramente;Ventas;4;4;Mercadeo;3;M;Ejecutivo_Ventas;4;Casado;10855;7;No;11;3;15;2;2;12;11;2;11
No;34;Frecuentemente;Ventas;2;4;Mercadeo;3;F;Representante_Ventas;3;Casado;2231;6;No;18;3;6;3;3;4;3;1;2
No;22;Raramente;IyD;19;1;Salud;3;M;Investigador_Cientifico;4;Casado;2323;1;No;24;4;2;6;3;2;2;2;2
No;27;No_Viaja;IyD;9;3;Salud;4;M;Investigador_Cientifico;2;Divorciado;2024;6;No;18;3;6;1;1;2;2;2;2
No;28;Raramente;IyD;21;3;Salud;3;M;Investigador_Cientifico;4;Casado;2713;1;No;11;3;5;2;1;5;2;0;2
No;57;Raramente;IyD;24;2;Ciencias;3;M;Representante_Salud;4;Divorciado;9439;3;Si;16;3;12;2;1;5;3;1;4
No;27;No_Viaja;IyD;3;3;Salud;3;M;Investigador_Cientifico;3;Divorciado;2566;1;Si;15;3;1;2;2;1;1;0;1
No;50;Raramente;IyD;11;3;Ciencias;3;F;Gerente;2;Soltero;19926;3;No;15;3;21;5;3;5;4;4;4
No;41;Raramente;IyD;14;3;Ciencias;1;M;Investigador_Cientifico;3;Divorciado;2451;4;No;12;3;13;2;3;9;8;1;8
No;30;Raramente;Ventas;5;3;Ciencias;2;F;Ejecutivo_Ventas;4;Casado;9419;2;No;12;3;12;2;3;10;9;7;4
No;38;Raramente;Ventas;1;4;Ciencias;1;F;Ejecutivo_Ventas;4;Soltero;8686;4;No;22;4;12;2;4;8;3;0;7
No;32;Raramente;IyD;6;5;Ciencias;3;M;Investigador_Cientifico;3;Soltero;3038;3;No;20;4;8;2;3;5;4;1;4
No;27;Raramente;IyD;17;3;Tecnicos;3;M;Investigador_Cientifico;2;Casado;3058;0;Si;16;3;6;3;2;5;2;1;1
Si;19;Frecuentemente;Ventas;1;1;Tecnicos;3;F;Representante_Ventas;1;Soltero;2325;0;No;21;4;1;5;4;0;0;0;0
No;36;Frecuentemente;IyD;3;2;Salud;4;M;Tecnico_Laboratorio;2;Soltero;2088;4;No;12;3;13;3;2;8;7;7;2
No;30;No_Viaja;IyD;9;3;Salud;3;M;Tecnico_Laboratorio;1;Divorciado;3072;1;No;11;3;12;4;3;12;9;6;10
No;45;Raramente;Ventas;4;2;Ciencias;3;F;Ejecutivo_Ventas;1;Divorciado;5006;4;Si;11;3;9;3;4;5;4;0;3
No;56;Raramente;IyD;8;3;Ciencias;3;F;Investigador_Cientifico;1;Divorciado;4257;4;Si;18;3;19;3;3;2;2;2;2
No;33;Raramente;IyD;2;3;Ciencias;3;M;Investigador_Cientifico;4;Soltero;2500;0;No;14;3;4;2;4;3;1;0;2
Si;19;Raramente;IyD;2;3;Ciencias;2;M;Tecnico_Laboratorio;4;Soltero;1102;1;No;22;4;1;3;2;1;0;1;0
No;46;Raramente;Ventas;1;2;Mercadeo;2;F;Ejecutivo_Ventas;1;Divorciado;10453;1;No;25;4;24;2;3;24;13;15;7
No;38;Raramente;IyD;9;2;Ciencias;3;F;Tecnico_Laboratorio;4;Soltero;2288;1;No;12;3;2;3;3;2;2;2;1
No;31;Raramente;IyD;12;1;Salud;3;F;Investigador_Cientifico;4;Casado;3929;8;Si;23;4;7;0;3;4;2;0;2
No;34;Raramente;IyD;27;2;Salud;4;F;Investigador_Cientifico;2;Soltero;2311;2;No;15;3;9;3;3;3;2;1;2
Si;41;Raramente;Ventas;20;2;Mercadeo;2;F;Representante_Ventas;2;Soltero;3140;1;Si;22;4;4;5;2;4;3;0;2
No;50;Raramente;IyD;1;3;Salud;3;M;Tecnico_Laboratorio;3;Casado;3690;2;No;15;3;5;2;2;3;2;0;2
No;53;Raramente;IyD;13;2;Salud;4;F;Director_Manofactura;1;Divorciado;4450;1;No;11;3;5;3;3;4;2;1;3
No;33;Raramente;IyD;14;3;Salud;4;F;Investigador_Cientifico;2;Casado;2756;1;No;13;3;8;5;3;8;7;1;6
No;40;Raramente;IyD;4;1;Salud;4;F;Gerente;3;Casado;19033;1;No;14;3;21;2;3;20;8;9;9
No;55;Raramente;IyD;14;4;Salud;3;M;Director_Investigación;2;Soltero;18722;8;No;11;3;36;3;3;24;15;2;15
No;34;Frecuentemente;IyD;2;1;Ciencias;4;M;Director_Manofactura;3;Casado;9547;1;No;17;3;10;2;2;10;9;1;9
No;51;Raramente;IyD;3;3;Salud;4;F;Representante_Salud;2;Soltero;13734;3;No;18;3;21;6;3;7;7;1;0
No;52;Raramente;IyD;1;4;Ciencias;3;M;Gerente;3;Casado;19999;0;No;14;3;34;5;3;33;18;11;9
No;27;Raramente;IyD;9;3;Salud;4;F;Investigador_Cientifico;2;Soltero;2279;1;No;16;3;7;2;2;7;7;0;3
